analysis,metric,method_a,method_b,rank_a,rank_b,absolute_rank_difference,nemenyi_q,nemenyi_p,critical_difference,reject_nemenyi
sensitivity_9block,Weighted-F1,GCRN,GOVERN,2.111111111111111,4.444444444444445,2.3333333333333335,1.634847782739198,0.8311892003336852,4.51536126139487,False
sensitivity_9block,Weighted-F1,PM,MV,5.888888888888889,8.222222222222221,2.333333333333332,1.6348477827391972,0.8311892003336855,4.51536126139487,False
sensitivity_9block,Weighted-F1,GLAD,TiReMGE,6.222222222222222,8.5,2.2777777777777777,1.595922835531122,0.8505913250530331,4.51536126139487,False
sensitivity_9block,Weighted-F1,GCRN,DS,2.111111111111111,4.222222222222222,2.111111111111111,1.4791479939068934,0.900696862314534,4.51536126139487,False
sensitivity_9block,Weighted-F1,DS,GLAD,4.222222222222222,6.222222222222222,2.0,1.4012980994907411,0.927244864704817,4.51536126139487,False
sensitivity_9block,Weighted-F1,GLAD,MV,6.222222222222222,8.222222222222221,1.9999999999999991,1.4012980994907405,0.9272448647048173,4.51536126139487,False
sensitivity_9block,Weighted-F1,GOVERN,GLAD,4.444444444444445,6.222222222222222,1.7777777777777777,1.2455983106584365,0.9649465716848836,4.51536126139487,False
sensitivity_9block,Weighted-F1,DS,PM,4.222222222222222,5.888888888888889,1.666666666666667,1.1677484162422844,0.9771370024616809,4.51536126139487,False
sensitivity_9block,Weighted-F1,DS,BWA,4.222222222222222,5.722222222222222,1.5,1.050973574618056,0.9890187163562089,4.51536126139487,False
sensitivity_9block,Weighted-F1,GOVERN,PM,4.444444444444445,5.888888888888889,1.4444444444444446,1.0120486274099798,0.9916362353629196,4.51536126139487,False
sensitivity_9block,Weighted-F1,EBCC,GLAD,4.777777777777778,6.222222222222222,1.4444444444444446,1.0120486274099798,0.9916362353629196,4.51536126139487,False
sensitivity_9block,Weighted-F1,CrowdFM,GLAD,4.888888888888889,6.222222222222222,1.333333333333333,0.9341987329938273,0.9953742041901072,4.51536126139487,False
sensitivity_9block,Weighted-F1,GOVERN,BWA,4.444444444444445,5.722222222222222,1.2777777777777777,0.8952737857857512,0.9966489287543192,4.51536126139487,False
sensitivity_9block,Weighted-F1,EBCC,PM,4.777777777777778,5.888888888888889,1.1111111111111116,0.7784989441615232,0.9988731558509671,4.51536126139487,False
sensitivity_9block,Weighted-F1,CrowdFM,PM,4.888888888888889,5.888888888888889,1.0,0.7006490497453706,0.9995175251840146,4.51536126139487,False
sensitivity_9block,Weighted-F1,EBCC,BWA,4.777777777777778,5.722222222222222,0.9444444444444446,0.6617241025372946,0.9996978843814415,4.51536126139487,False
sensitivity_9block,Weighted-F1,CrowdFM,BWA,4.888888888888889,5.722222222222222,0.833333333333333,0.583874208121142,0.9998933625969012,4.51536126139487,False
sensitivity_9block,Weighted-F1,DS,CrowdFM,4.222222222222222,4.888888888888889,0.666666666666667,0.4670993664969139,0.9999840475294177,4.51536126139487,False
sensitivity_9block,Weighted-F1,DS,EBCC,4.222222222222222,4.777777777777778,0.5555555555555554,0.3892494720807613,0.9999967194649891,4.51536126139487,False
sensitivity_9block,Weighted-F1,BWA,GLAD,5.722222222222222,6.222222222222222,0.5,0.3503245248726853,0.9999986959922711,4.51536126139487,False
sensitivity_9block,Weighted-F1,GOVERN,CrowdFM,4.444444444444445,4.888888888888889,0.44444444444444464,0.3113995776646093,0.999999537721154,4.51536126139487,False
sensitivity_9block,Weighted-F1,GOVERN,EBCC,4.444444444444445,4.777777777777778,0.33333333333333304,0.23354968324845665,0.9999999639457338,4.51536126139487,False
sensitivity_9block,Weighted-F1,PM,GLAD,5.888888888888889,6.222222222222222,0.33333333333333304,0.23354968324845665,0.9999999639457338,4.51536126139487,False
sensitivity_9block,Weighted-F1,MV,TiReMGE,8.222222222222221,8.5,0.27777777777777857,0.19462473604038127,0.9999999929071549,4.51536126139487,False
sensitivity_9block,Weighted-F1,DS,GOVERN,4.222222222222222,4.444444444444445,0.22222222222222232,0.15569978883230465,0.9999999990362827,4.51536126139487,False
sensitivity_9block,Weighted-F1,BWA,PM,5.722222222222222,5.888888888888889,0.16666666666666696,0.11677484162422865,0.9999999999269474,4.51536126139487,False
sensitivity_9block,Weighted-F1,EBCC,CrowdFM,4.777777777777778,4.888888888888889,0.1111111111111116,0.07784989441615263,0.9999999999980868,4.51536126139487,False
